ID1	IND1	KSIC1	KSIC2	KSIC3	SCALE	TYPE	YYYY	A01_01	A01_01_01	A01_02	A01_03	A01_03_01	A01_04	A01_05	A01_06	A02_01	A02_02	A02_03	A02_04	A02_05	A02_06	A02_07	A02_08	A02_08_01	A02_08_02	A02_08_03	A02_08_04	A02_08_05	A02_08_06	A02_08_07	A02_08_08	A02_08_09	A02_08_10	A02_08_11	A02_08_12	A02_08_13	A02_08_14	A02_08_15	A02_08_16	A02_08_17	A02_08_18	A02_08_19	A02_08_20	A02_08_21	A02_09	A02_09_01	A02_09_02	A02_09_03	A02_09_04	A02_09_05	A02_09_06	A02_09_07	A02_09_08	A02_09_09	A02_09_10	A02_09_11	A02_09_12	A02_09_13	A02_09_14	A02_09_15	A02_09_16	A02_09_17	A02_09_18	A02_09_19	A02_09_20	B01_01	B01_01_01	B01_01_02	B01_02_01	B01_02_02	B01_02_03	B01_02_05	B01_02_06	B01_02_07	B01_03	B01_04	B01_05_01	B01_05_02	B01_05_03	B01_05_04	B01_05_05	B01_05_06	B01_05_07	B01_05_08	B01_06_01	B01_06_02	B01_06_03	B01_06_04	B01_06_05	B01_06_06	B01_06_07	B01_06_08	B01_07	B01_07_01	B01_07_02	B01_07_03	B01_07_04	B01_07_05	B01_07_07	B01_08_01	B01_08_02	B01_08_03	B01_08_04	B01_08_05	B01_08_06	B01_09_01	B01_09_02	B01_09_03	B01_09_04	B01_09_05	B01_09_06	B01_09_07	B01_09_08	B01_09_09	B01_09_12	B02_01_01	B02_01_02	B02_01_03	B02_01_04	B02_01_05	B02_01_06	B02_01_07	B02_01_08	B02_01_09	B02_01_10	B02_01_11	B02_01_12	B02_01_13	B02_01_14	B02_01_15	B02_01_16	B02_01_17	B02_01_18	B02_01_19	B02_01_20	B02_01_21	B02_01_22	B02_01_23	B02_01_24	B02_02_01	B02_02_02	B02_02_03	B02_02_04	B02_02_05	B02_03_01	B02_03_02	B02_03_03	B02_03_04	B02_03_05	B02_03_06	B02_04_01	B02_04_02	B02_04_03	B02_04_04	B02_04_05	B02_04_06	B02_04_07	B02_04_08	B02_04_09	B02_04_10	B02_04_11	B02_04_12	B02_05_01	B02_05_02	B02_06_01	B02_06_02	B02_06_03	B02_06_04	B02_06_05	B02_06_06	B02_06_07	B02_06_08	B02_06_09	B02_06_10	B02_06_11	B02_06_12	B02_06_13	B02_07_01	B02_07_02	B02_07_03	B02_07_04	B02_07_07	B02_07_08	B02_07_09	B02_07_12	B02_08_01	B02_08_02	B02_08_03	B02_08_04	B02_08_05	B02_08_06	B02_08_07	B02_08_08	B02_08_09	B02_08_10	B02_08_11	B02_08_12	B02_09_01	B02_09_02	B02_09_03	B02_09_04	B02_10_02	B02_10_03	B02_10_04	B02_10_07	B02_10_08	B02_10_09	B02_10_11	B02_10_12	C01_01	C01_01_01	C01_02	C01_02_01	C01_03	C01_03_01	C01_04	C01_05	C01_05_01	C01_05_02	C01_05_03	C01_05_04	C01_05_05	C01_05_06	C01_06_01	C01_06_02	C01_06_03	C01_06_04	C01_06_05	C01_06_06	C01_06_07	C01_06_08	C01_06_09	C01_06_10	C01_06_11	C01_06_12	C01_06_13	C01_06_14	C01_06_15	C01_06_16	C01_06_17	C01_06_18	C01_06_19	C01_06_20	C01_06_21	C01_08_01	C01_08_02	C01_08_03	C01_08_04	C01_08_05	C01_08_06	C01_08_07	C01_09_01	C01_09_02	C01_09_03	C01_09_04	C01_09_05	C01_09_06	C01_09_07	C01_09_08	C01_09_09	C01_09_10	C01_09_11	C01_09_12	C01_09_13	C01_09_14	C01_09_15	C01_09_16	C01_09_17	C01_09_18	C01_10_01	C01_10_02	C01_10_03	C01_10_04	C01_10_05	C01_10_06	C01_10_07	C01_10_08	C01_10_09	C01_10_10	C01_10_11	C01_10_12	C01_10_13	C01_10_14	C02_01_01	C02_01_02	C02_01_05	C02_01_06	C02_01_07	C02_01_08	C02_02_01	C02_02_02	C02_02_03	C02_02_04	C02_02_05	C02_02_06	C02_02_07	C02_02_08	C02_02_09	C02_03_01	C02_03_02	C02_03_03	C02_03_04	C02_03_05	C02_04_01	C02_04_02	C02_04_03	C02_04_04	C02_04_05	C02_04_06	C02_04_07	C02_04_08	C02_04_09	C02_04_10	C04_01_01	C04_01_02	C04_01_03	C04_01_04	C04_01_05	C04_01_06	C04_01_07	C04_01_08	C04_02_02	C04_02_03	C04_02_08	C04_02_09	C04_02_11	C04_02_12	C04_02_19	C04_02_20	C04_02_22	C04_02_23	C04_03_01	C04_03_02	C04_03_03	C04_03_05	C04_03_06	C04_04_01	C04_04_03	C04_04_04	C04_04_06	C04_04_07	D01_01	D01_02	D01_03	D01_04_01	D01_04_02	D01_04_03	D01_04_04	D01_04_05	D01_04_06	D01_05	D01_05_01	D01_05_02	D01_06	D01_06_01	D01_07	D01_07_01	D01_07_02	D01_07_03	D01_07_04	D01_07_05	D01_07_06	D01_07_07	D01_07_08	D01_07_09	D01_08	D01_08_01	D01_09	D01_09_01	D01_09_02	D01_09_03	D01_09_04	D01_10	D02_01_01	D02_01_02	D02_02	D02_02_01	D02_02_02	D02_02_03	D02_02_04	D02_02_05	D02_02_06	D02_03_01	D02_03_02	D02_03_03	D02_04	D02_05	D02_06_01	D02_06_02	D02_06_03	D02_06_04	D02_06_06	D02_06_07	D02_07	D02_07_01	D02_08	D02_08_01	D03_01_01	D03_01_03	D03_01_05	D03_01_07	D03_01_09	D03_01_11	D03_01_13	D03_01_14	D03_02	D03_03_01	D03_03_02	D03_03_03	D03_03_04	D03_04	D03_05	D03_06_01	D03_06_02	D03_06_03	D03_06_04	D03_06_05	D03_06_06	D03_06_07	D03_06_08	D04_01_01	D04_01_02	D04_01_03	D04_01_04	D04_02	D04_03_01	D04_03_02	D04_03_03	D04_03_04	D04_03_05	D04_03_06	D04_04_01	D04_04_02	D04_04_03	D04_04_04	D04_04_05	D04_04_06	D04_04_07	D04_04_08	D04_04_09	D04_04_10	D04_04_11	D04_04_12	D04_04_13	D04_04_14	D04_05_01	D04_05_02	D04_05_03	D04_05_04	D04_05_05	D04_05_06	D04_06	D04_06_01	D04_06_02	D04_06_03	D04_07_01	D04_07_02	D04_07_03	D04_08_01	D04_08_02	D04_08_03	D04_08_04	D04_08_05	D04_08_06	D05_01	D05_02	D05_03	D05_02_01	D05_03_01	D05_03_02	D05_03_03	D05_03_04	D05_03_05	D05_03_07	D05_03_08	D05_03_09	D05_03_10	D05_03_11	D05_03_12	D05_03_13	D05_03_14	D05_03_15	D05_03_16	D05_03_17	D05_03_18	D05_03_19	D05_03_20	D05_03_21	D05_03_22	D05_03_23	D05_03_24	D05_03_25	D05_03_26	D05_03_27	D05_03_28	D05_03_29	D05_03_30	D05_03_31	D05_03_32	D05_03_33	D05_03_34	D05_03_35	D05_03_36	D05_03_37	D05_03_38	D05_03_39	D05_03_40	D05_03_41	D05_03_42	D05_04	D06_02	D06_02_01	D06_02_02	D06_02_03	D06_02_04	D06_02_05	D06_02_06	D06_02_07	D07_01	D07_02	D07_02_01	D07_03_01	D07_03_02	D07_03_03	D07_03_10	D07_04
1	1	C	20	201	1	1	2009	1954		4	2		4	2	1	3	4	1	2	2	3	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2																					2	200	100.0	1	2	4	1	3	4	4	1	2	2	2	1	1				8	8	8	8	8				2							1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	188	167	19	2	16	12	4	0	10	10	0	0													186	25	64	65	32	186	96	34	52	4	0	18	18	16	13	8	7	15	2	0	0	0	0	24	36	97	95	2	88	86	2	9	9	0	14	14	81	81	47	47	47	47	30.0	48	48	30	7	16	4	7	3	2	6	2	0	0	0	0	2		1	2	1	0	0	0	0	0	1	0	2	2	1	2	2		3	1	1	0	1	0	0	0	1	150	1.0	1	50	10.0	2			2			1	16	10.0	2			2			0	1	1	0	1	1	1	1	2	2		2		2		2		2		2		2		2		1	3	1	3	1	3	1	3	1	3	1	3	1	3	21.0	0.00	8406.00	23.0	0.0	23.0	1	30	15	1	30	0.0	2			2	2	2	3	3	2	2	2	3	2	4	2	2	2	1	3	4	4	3	4				1	1	2		2				2		0	1	0	-9	-9	2	8	8	8	8	2		1	2	2	0	6.0	15.0	-8.0	2	2	3	2		2										2		2					1	5	5	2							8.0	9.0	5.0	2	0.0	0	0	0	0							2	2	2	2	2	2								1	2	0	0	0	0	1	0	0	-9	1	1	2	2	3	1	2	2	2	2	2	600.00	600.00	600	600	0.00	0.00	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00	20	43.0	64.0	4	4	4	1328	3	3	3	2	-8	-8	1	2	2		1	4	1	2	1		0	0	1	1	0	1	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	0	0	2	2								4	1	1	89	100.0	2	2	1
1	1	C	20	201	1	1	2011	1954		4	2		4	1	1	4	1	3	3	3	3	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2																					2	0	100.0	2	6	1	4	3	10	3	2	3	1	1	1	1				8	8	8	8	8				2							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181	159	22	0	7	5	2	0	15	15	0	0													181	20	59	60	42	181	126	6	42	6	1	10	13	8	12	6	7	19	3	0	0	0	0	24	56	3	3	0	3	3	0	0	0	0	3	3	0	0	3	20	3	3	30.0	0	0	-8	3	0	0	0	0	0	0	0	0	0	0	0	2		2		0	0	0	0	0	0	0	0	2	2	1	4	2		3	4							1	120	30.0	1	3	1.0	1	1	1.0	2			2			2			2			0	0	0	0	0	0	1	2		2		2		2		2		2		2		2		1	2	2		1	3	2		2		1	3	1	3	2		126.0	0.00	10375.00	35.0	0.0	35.0	2			-8			-8			3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	4	4	4	4	4				1	1	1	1	2				2		0	0	0			2	2	8	8	8	2		1	3	3	2	3.0	10.0	20.0	2	2	3	2		2										2		2					1	5	5	1	0	0	1	0	0	0	3.0	4.0	8.0	2	20.0	0	0	0	0			2		2		2	2	2	2	2	2								-8	2	0	0	0	0	0	0	0	0	1	1	2	2	3	2	2	2	2	2	1	100.00	100.00	100	100	0.00	0.00	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00	38	50.0	65.0	3	3	3	9489	3	3	3	2	-8	-8	2		2		2		2	2	2																																											2	2								5	1	2	120	100.0	1	2	1
1	1	C	20	201	1	1	2013	1954		4	2		5	1	2	3	1	2	2	3	3	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2					2					1	0	1	0	0	2					2	100	100.0	2	7	9	3	4	9	4	1	3	1	1	1	1				8	8	8	8	8				2							-8	-8	-8	-8	-8	-8	0	1	0	0	0	0	0	0	0	0	231	208	23	0	8	5	3	0	20	16	4	0													231	50	71	75	35	231	91	38	90	10	2	43	13	13	14	12	12	19	3	1	0	0	0	30	38	12	12	0	10	10	0	2	2	0	9	9	3	3	10	30	10	10	14.0	2	2	14	5	0	0	2	1	0	2	0	0	0	0	0	2		2		0	4	2	0	2	0	6	2	1		1	3	2		3	1	1	1	0	0	0	0	1	920	4.0	1	200	20.0	1	30	1.5	2			2			2			2			0	0	0	0	0	0	1	1	2	1	2	2		2		2		2		2		2		2		1	2	1	2	1	2	2		2		1	2	2		90.0	2.00	13800.00	42.0	0.0	42.0	1	7	50	1	7	50.0	2			4	3	3	3	2	2	2	2	1	3	4	4	2	1	2	4	4	4	4	4				1	1	2		2				2		0	0	0			2	8	8	8	8	1	5		3	1	0	2.0	15.0		2	2	3	1	1	1	0	0	1	0	1	0	0	1	0	2		2					1	4	5	2							8.0	10.0	5.0	1	0.0	0	0	0	1	6	7	2		1	1	2	1	1	1	1	2	3	4	3					3	2	1	1	0	0	0	0	0	0	1	1	2	2	3	2	2	2	2	1	2	600.00	600.00	600	600	0.00	0.00	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00	40	53.0	63.0	4	3	2	1770	3	3	3	2	-8	-8	1	1	2		2		1	1	1	12.0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	2								4	1	1	120	100.0	1	1	2
1	1	C	20	201	1	1	2015	1954		4	2		4	1	1	3	1	1	2	3	3	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2																					2	100	100.0	7	5	9	3	4	1	3	1	3	1	1	1	1				8	8	8	8	8				2							1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	222	201	21	0	8	4	4	0	20	20	0	0													222	25	71	107	19	222	114	30	65	10	3	20	12	6	16	10	6	16	4	1	0	0	0	35	100	4	4	0	4	4	0	0	0	0	4	4	0	0	0	0	0	0	0.0	4	4	10	0	0	0	0	0	0	0	0	0	0	0	0	2		2		0	3	0	0	0	0	3	0	1		1	5	2		3	1	1	1	0	0	0	0	1	666	50.0	1	200	100.0	2			2			2			2			2										2		2		2		2		2		1	2	2		1	3	2		1	3	1	3	1	4	2		2		2		1	3	227.0	4.00	14458.00	150.0	0.0	150.0	-8			1	16	20.0	-8			3	3	2	3	3	3	3	3	4	3	2	3	4	3	3	3	3	3	3	3				1	1	2		2				2							2	2	2	8	2	1	5		2	1	0	3.0	15.0		2	2	1	1	1											2		2					1	4	5	2							10.0	10.0	5.0	2	0.0	0	0	0	0							2	2	2	2	2	2	-8	-8						-8	2														2	2	2	2	1	2	50.00	50.00	50	50	0.00	0.00									42	50.0	60.0	3	3	3	1800	3	3	3	2	100	100	1	3	2		2		1	1	1	24.0	1	0	0	0	0	1																																				2	2								5	1	1	63	100.0	1	2	1
1	1	C	20	201	1	1	2017	1954		4	2		4	1	5	3	1	1	2	1	3	2	1																						2																					1	20		7	5	9	3	4	1	3	1	-8	1	1	1	1				-8	8	8	8	8				2							1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	124	108	16	0	-8	-8	-8	-8	5	5	0	0													124	14	40	60	10	124	64	17	36	5	2	17	4	3	8	6	6	15	1	0	0	0	0	23	66	1	1	0	1	1	0	0	0	0	1	1	0	0	1	3	1	1		0	0																		0	0	0	0	0	0	0	0	1		1	4	2		3	1	1	1	0	0	0	0	1	248	0.0	1	53	1.0	2			2			2			2			2										2		2		2		2		2		2		2		1	3	2		1	4	1	3	1	4	2		2		2		1	3	86.0	-9.00	12029.00	1.0	0.0	1.0	1	90	0	-8			-8			3	3	2	3	3	3	3	3	4	3	2	3	4	3	3	-8	3	3	3	3				1	1	2		2				2							2	2	2	8	8	1	5		2	1	0	6.0	17.0		2	2	1	1	1													1	0	20	0	100	1	4	5	2							10.0	10.0	5.0	2		0	0	0	0							2	2	2	2	2	2								-8	2														2	2	2	2	1	2	50.00	50.00	50	50	0.00	0.00									42	54.0	65.0	4	3	2	367	3	3	3	2	-8	-8	1	3	2		2		1	1	1	20.0	1	0	0	0	0	1																																				2	2								5	1	1	64	100.0	1	2	1
2	1	C	11	112	2	3	2009	1971		4	2		3	3	1	4	2	2	2	2	2	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	2																					2	1512	100.0	9	1	5	9	4	3	5	1	3	3	1	1	1				1	1	1	1	1				2							1	1	0	1	0	0	0	1	0	1	1	0	0	1	1	0	325	245	47	33	16	11	5	0	46	38	5	3													292	60	130	85	17	292	81	46	135	28	2	81	51	28	23	14	7	24	5	0	0	1	0	73	20	46	40	6	34	33	1	12	7	5	28	28	12	12	21	690	24	35	28.0	4	5	21	22	3	1	1	1	1	6	0	0	0	0	0	1	1	1	3	4	0	3	1	0	1	7	2	1		1	3	2		3	4							1	112	24.0	1	335	88.0	1	819	44.0	2			2			2			2			0	1	1	1	1	0	1	1	4	2		2		2		2		1	2	1	4	1	2	2		1	2	1	2	1	4	2		1	3	1	3	1	4	47.0	49.00	15620.00	192.0	0.0	192.0	1	5	50	1	3	25.0	1	3.0	35	3	3	4	3	2	1	2	4	2	4	5	3	2	2	2	2	4	3	4	3				1	1	2		2				2		0	0	0			1	8	8	8	8	1	5		3	1	0	3.0	3.0	-8.0	1	1	3	1	3	2										2		1	2	15	0	1	1	4	6	1	1	0	0	1	0	0	9.0	7.0	8.0	1	10.0	1	0	1	1	6	5	2		1	1	2	1	1	1	1	1			2	0	0	0	1	5	2	1	1	0	0	1	1	1	-9	1	1	1	2	2	1	1	1	2	2	2	600.00	600.00	600	600	0.00	0.00	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00	24	35.0	46.0	2	2	2	2384	3	3	3	2	-8	-8	2		2		2		1	2	1		0	0	0	1	0	3																																				2	2								5	1	4					4
2	1	C	11	112	2	3	2011	1971		4	2		3	3	1	4	2	3	2	2	2	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	2																					2	1500	100.0	9	1	5	9	4	3	5	1	3	3	1	1	1				1	1	1	1	1				2							1	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	340	250	52	38	17	12	5	0	45	37	5	3													302	63	135	87	17	302	80	51	141	28	2	51	46	23	18	12	7	26	7	0	0	1	0	72	21	52	52	0	41	41	0	11	11	0	37	37	15	15	38	1200	38	38	28.0	14	14	21	23	5	2	1	0	0	7	0	0	0	0	0	2		2		6	27	0	3	7	0	33	10	1		1	3	2		3	4							1	162	36.0	1	365	98.0	1	928	54.0	2			2			2			2			0	1	1	1	0	0	1	1	4	2		2		2		2		1	2	1	3	1	2	2		1	3	1	3	1	4	2		1	3	1	3	1	4	72.0	-9.00	16000.00	356.0	0.0	356.0	1	5	50	1	3	25.0	1	3.0	25	3	3	4	3	2	1	2	4	2	4	5	3	2	2	2	2	4	3	4	3				2		2		2				2		0	0	0			8	8	8	8	8	1	5		3	2	0	5.0	6.0	-8.0	1	1	3	1	2	2										2		2					1	4	6	2							9.0	7.0	8.0	1	5.0	1	0	1	1	6	5	2		2		2	1	1	1	1	1	2	3	2	0	0	0	1	5	2	1	1	0	0	1	1	1	0	1	1	1	2	2	1	1	1	2	2	2	600.00	600.00	600	600	0.00	0.00	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00	24	35.0	46.0	2	2	2	3346	3	3	3	2	-8	-8	2		2		2		1	2	1		0	0	0	1	0	3																																				2	2								5	1	4					4
2	1	C	11	112	2	3	2013	1971		4	2		3	3	1	4	2	3	2	2	2	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	2																					3	1500	70.0	9	1	5	9	4	3	5	1	3	3	1	1	1				1	1	1	1	1				2							1	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	315	250	50	15	18	11	7	0	10	10	0	0													300	63	135	87	15	300	80	51	139	28	2	95	24	43	25	26	7	15	10	3	1	1	2	75	21	68	48	20	38	28	10	30	20	10	63	43	5	5	19	120	19	19	20.0	29	29	20	8	2	1	0	1	0	7	0	0	0	0	0	2		2		5	18	3	13	9	1	26	23	1		1	3	2		3	4							1	3080	150.0	1	150	60.0	1	308	15.0	2			2			2			2			0	1	1	1	0	0	1	1	4	2		2		2		2		1	2	1	3	1	2	2		1	3	1	3	1	4	2		1	3	1	3	1	4	143.0	15.00	13290.00	291.0	0.0	291.0	1	5	50	1	3	25.0	1	3.0	25	3	3	4	3	2	1	2	4	2	4	5	3	2	2	2	2	4	3	4	3				2		2		2				2		0	0	0			8	8	8	8	8	1	5		3	2	0	3.0	7.0		1	1	3	1	2	2										2		2					1	4	6	2							9.0	7.0	8.0	1	0.0	1	0	1	1	6	5	2		2		2	1	1	1	1	1	2	3	2	0	0	0	1	5	2	1	1	0	0	1	1	1	0	1	1	1	2	2	1	1	1	2	2	2	600.00	600.00	600	600	0.00	0.00	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00	30	40.0	50.0	4	4	4	2694	3	3	3	2	-8	-8	2		2		2		1	2	1		0	0	0	1	0	3																																				2	2								5	1	4					4
2	1	C	11	112	2	3	2015	1971		4	2		3	3	1	4	2	3	2	2	2	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	2																					3	2000	70.0	9	1	5	9	4	3	5	1	3	3	1	1	1				1	1	1	1	1				2							1	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	360	280	50	30	20	14	6	0	10	10	0	0													330	69	149	96	16	330	88	56	153	31	2	93	23	42	24	25	7	19	13	4	1	1	2	-9	38	70	65	5	56	52	4	14	13	1	36	31	34	34	51	510	51	51	20.0	14	14	20	18	16	2	3	0	0	12	0	0	0	0	0	2		2		0	0	0	0	0	0	0	0	1		1	3	2		3	4							1	400	150.0	1	100	200.0	1	360	2.0	2			2			2			2										1	4	2		2		2		2		1	2	1	3	1	2	2		1	3	1	3	1	4	2		1	3	1	3	1	4	-9.0	-9.00	12815.00	352.0	0.0	352.0	1	30	10	1	30	10.0	1	30.0	10	3	3	4	3	2	1	2	4	2	4	5	3	2	2	2	2	4	3	4	3				2		2		2				2							8	8	8	8	8	1	5		4	1	1	6.0	7.5	5.0	1	1	3	1	2											2		2					1	4	6	2							9.0	7.0	8.0	1	0.0	1	0	1	1	6	5	2		2		2	1	1	1	1	1	2	3	2					5	1														1	1	1	2	2	2	0.00	0.00	0	0	0.00	0.00									35	45.0	55.0	3	3	3	3705	3	3	3	2	100	100	2		2		2		1	2	1		0	0	0	1	0	3																																				2	2								5	1	4					4
2	1	C	11	112	2	3	2017	1971		4	2		3	3	1	5	3	3	2	2	2	1	1																						2																					1	5200		9	1	5	9	4	3	3	1	3	3	1	1	1				1	1	1	1	1				2							1	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	395	350	18	27	20	14	6	0	26	24	2	0													368	77	166	107	18	368	98	62	172	34	2	134	33	60	34	36	10	2	2	2	0	0	0	64	40	70	68	2	51	51	0	19	17	2	41	39	29	29	49	500	49	49		19	19																		24	27	7	7	3	1	58	11	1		1	3	2		3	4							1	700	200.0	1	100	266.5	1	350	2.5	2			2			2			2										1	4	1	2	2		2		2		1	2	1	3	1	2	2		1	3	1	3	1	4	2		1	3	1	3	1	4	137.0	-9.00	21210.00	469.0	0.0	469.0	1	30	10	1	30	10.0	1	30.0	10	3	3	4	3	2	1	2	4	2	4	5	3	2	2	2	2	4	3	4	3				2		2		2				2							8	8	8	8	8	1	5		3	2	1	6.0	8.5	2.0	1	1	3	1	2													2					1	4	6	2							9.0	7.0	8.0	1		1	0	1	0	6	5	2		2		2	1	1	1	1	1	2	3	2					5	1														1	1	1	2	2	2	0.00	0.00	0	0	0.00	0.00									37	46.0	56.0	3	3	3	5716	3	3	3	2	-8	-8	2		2		2		1	2	1		0	0	0	1	0	3																																				2	2								5	1	4					4
